merged_point_id,segment_ids_with_directions,geometry,stop_xy,segment_id,direction,travelDirection
26,0006_177.5_W,POINT (-111.5927821079243 40.08616674464696),449460_4437480,0006_177.5,W,EB
27,0006_177.9_W,POINT (-111.58749243846246 40.08211315983027),449920_4437040,0006_177.9,W,EB
28,0006_178.8_W,POINT (-111.57720803600493 40.07179399688173),450780_4435880,0006_178.8,W,EB
29,0006_181.6_W,POINT (-111.54704150385884 40.04436050267042),453340_4432820,0006_181.6,W,EB
30,0006_184.1_W,POINT (-111.5053261129799 40.0288888691841),456880_4431080,0006_184.1,W,EB
30,2820_000.0_W,POINT (-111.5053261129799 40.0288888691841),456880_4431080,2820_000.0,W,EB
31,0006_187.5_W,POINT (-111.46888172940658 39.99551595719928),459980_4427360,0006_187.5,W,EB
32,0006_194.8_W,POINT (-111.34053954419245 39.97462575254767),470920_4425000,0006_194.8,W,EB
32,2863_000.0_W,POINT (-111.34053954419245 39.97462575254767),470920_4425000,2863_000.0,W,EB
33,0006_203.6_W,POINT (-111.19930611943477 39.93567243329918),482980_4420640,0006_203.6,W,EB
34,0006_211.2_W,POINT (-111.07030825374015 39.92515848238717),494000_4419460,0006_211.2,W,EB
35,0006_216.2_W,POINT (-111.0266773830624 39.86202575271914),497720_4412440,0006_216.2,W,EB
36,0006_221.1_W,POINT (-110.94962346162345 39.82473475983221),504320_4408300,0006_221.1,W,EB
36,1328_000.0_W,POINT (-110.94962346162345 39.82473475983221),504320_4408300,1328_000.0,W,EB
38,0013_000.0_W,POINT (-112.0163131384015 41.48655889808368),415160_4593280,0013_000.0,W,EB
38,0091_002.0_W,POINT (-112.0163131384015 41.48655889808368),415160_4593280,0091_002.0,W,EB
39,0013_000.6_W,POINT (-112.01603909640404 41.49599771879991),415200_4594320,0013_000.6,W,EB
39,1088_000.4_W,POINT (-112.01603909640404 41.49599771879991),415200_4594320,1088_000.4,W,EB
40,0013_001.3_W,POINT (-112.015825115353 41.50607803171071),415220_4595440,0013_001.3,W,EB
40,0090_000.0_W,POINT (-112.015825115353 41.50607803171071),415220_4595440,0090_000.0,W,EB
41,0013_001.6_W,POINT (-112.01573096722863 41.510403612148345),415240_4595920,0013_001.6,W,EB
42,0013_001.8_W,POINT (-112.01567476185258 41.5128639915951),415240_4596200,0013_001.8,W,EB
42,1094_000.4_W,POINT (-112.01567476185258 41.5128639915951),415240_4596200,1094_000.4,W,EB
43,0013_002.5_W,POINT (-112.01549877914026 41.52284107709238),415280_4597300,0013_002.5,W,EB
43,1100_001.6_W,POINT (-112.01549877914026 41.52284107709238),415280_4597300,1100_001.6,W,EB
44,0038_000.0_W,POINT (-112.01541928729924 41.52825873323697),415280_4597900,0038_000.0,W,EB
44,1096_000.4_W,POINT (-112.01541928729924 41.52825873323697),415280_4597900,1096_000.4,W,EB
